Strain,Mouse_ID,Group_RvC,Group_RvAll,Gender,Sample_Number,Expt,Total_cell_count,CD3p,CD8p,CD49d_lo,VM_CD122p_CD44p,VM_CD25p,VM_CD62Ln,VM_GrzBp,VM_Nrp1p,VM_PD1p,CD8_bulk_CD25p,CD8_bulk_CD44p,CD8_bulk_CD44n_CD62Ln,CD8_bulk_CD62Ln,CD8_bulk_GrzBp,CD8_bulk_Nrp1p,CD8_bulk_PD1p,CD8_naive_CD62Lp,CD8_naive_CD25p,CD8_naive_GrzBp,CD8_naive_Nrp1p,CD8_naive_PD1p,Tcm_CD44p_CD62Lp,Tcm_CD25p,Tcm_GrzBp,Tcm_Nrp1p,Tcm_PD1p,Tem_CD44p_CD62Ln,Tem_CD25p,Tem_GrzBp,Tem_Nrp1,Tem_PD1,CD4p,CD4_conv_FOXP3n,CD4_conv_CD25p,CD4_conv_CD44hi,CD4_conv_CD62Ln,CD4_conv_CTLA4hi,CD4_conv_GITRp,CD4_conv_GrzBp,CD4_Conv_ICOSp,CD4_conv_Nrp1,CD4_conv_PD1p,Tregs,Tregs_CD25p,Tregs_CD44hi,Tregs_CD62Ln,Tregs_CTLA4hi,Tregs_GITRp,Tregs_GrzBp,Tregs_ICOSp,Tregs_PD1p,Tregs_Nrp1p,Tregs_CD25p_Nrp1p,Tregs_CD44hi_Nrp1p,Tregs_CD62Ln_Nrp1p,Tregs_CTLA4hi_Nrp1p,Tregs_GITRp_Nrp1p,Tregs_GrzBp_Nrp1p,Tregs_ICOSp_Nrp1p,Tregs_PD1p_Nrp1p,Tregs_Nrp1n,Tregs_CD25p_Nrp1n,Tregs_CD44hi_Nrp1n,Tregs_CD62Ln_Nrp1n,Tregs_CTLA4hi_Nrp1n,Tregs_GITRp_Nrp1n,Tregs_GrzBp_Nrp1n,Tregs_ICOS_Nrp1n,Tregs_PD1p_Nrp1n,CD3n,CD19n,PMN,Ly6Gn,Monocytes,Mono_Ly6Chi,Mono_Ly6Clo,Mono_alt_CD11bp_CD11cn,NK,NK_CD11bp,NK_CD80p,NK_CD86p,Macrophages,Mac_CD40p,Mac_CD80p,Mac_CD86p,DC,DC_CD40p,DC_CD80p,DC_CD86p,DC_MHCIIp,DC_CD8p,DC_CD8p_CD40p,DC_CD8p_CD80p,DC_CD8p_CD86p,DC_CD11bp,DC_CD11bp_CD40p,DC_CD11bp_CD80p,DC_CD11bp_CD86p,DC_CD8n_CD11bn,DC_CD8n_CD11bn_CD40p,DC_CD8n_CD11bn_CD80p,DC_CD8n_CD11bn_CD86p,B_cells,Mature_B_cell,Follicular_B_cell,MZ_B_cell,Transitional_B_cell,T1_B_cell,T2_B_cell,T3_B_cell
B6,B6_F_1,Canonical,Other,F,260,155,120000000,21.8,33,97.6,8.26,0.81,9.05,0.14,0.095,1.94,0.88,29,4.08,7.24,0.099,0.23,1.66,67.1,0.22,0.05,0.05,0.47,25.7,1.53,0.18,0.53,3.28,3.06,5.99,0.37,1.62,8.48,57.7,91.3,1.56,17.8,14.2,1.71,2.95,0.041,3.69,1.63,3.38,8.01,70.2,55.2,35.5,62.3,86.8,0.16,21.3,22,23.4,68.6,80.3,42.9,80.7,92.2,0.23,36.8,35,73.8,70.8,47,33,56,85.1,0.15,16.5,18.1,72.6,14.8,11.7,88.2,9.83,67.5,27.9,7.34,7.54,12.9,46.1,57.6,13.3,31.6,85.3,81.1,16.2,38,89.8,25.4,99.2,26.8,9.4,85.7,37.6,64.9,46.4,92.6,20.8,2.86,11.9,74.6,13.4,79.9,80.6,86.4,3.5,18.3,60.8,25.6,7.09
B6,B6_F_2,Canonical,Other,F,261,155,126000000,17.2,32.2,97.6,7.32,1.19,12.6,1.13,0.25,3.21,1.01,26.4,6.93,10.9,0.23,0.21,1.98,66.8,0.26,0.06,0.01,0.52,22.5,2.46,0.46,0.58,4.35,3.79,5.69,2.13,1.78,11.3,58,89.6,2.34,21.3,19.2,2.12,3.81,0.045,4.12,1.71,4.92,9.55,74.3,55.2,39.8,64.1,85,0.26,22.4,25.5,23.6,76.7,80.6,46.2,84.5,92.8,0.11,38.3,43,73.6,73.3,46.8,37.8,57.4,82.5,0.28,17.4,19.7,78.9,18.2,12.3,87.7,14.4,74.9,22.4,8.68,8.86,18.3,56.5,57.6,11.8,28.1,93.5,84.8,12.2,49.4,87.1,31.8,99,26.1,13.6,77.3,40.5,65.2,60.5,92.3,29.5,3.38,16.2,69,16.9,78.8,80.2,81.3,5.67,18.7,65.8,19.7,6.92
B6,B6_M_3,Canonical,Other,M,262,155,125000000,19.4,32.2,98,9.18,0.93,9.09,0.12,0.078,1.98,0.94,28.2,5.47,8.73,0.1,0.15,1.42,66.5,0.3,0.04,0.03,0.42,25,1.67,0.24,0.38,2.93,3.07,5.35,0.23,1.14,7.05,60.4,89.9,1.45,15.7,13.6,1.93,3.68,0.039,2.62,1.1,4.03,9.36,67.4,51.3,40.1,60.1,88.9,0.22,19.3,22.1,20.2,70,77.2,50.1,82.1,96.3,0.3,34.1,39.9,76.7,67.2,44.3,36.9,53.9,86.8,0.21,15.4,17,76.4,16.8,12.5,87.5,8.72,66.9,28.5,5.41,7.57,10.7,45.6,55.9,7.62,34.4,90.2,76.7,15.6,37.2,90,20.6,99,24.3,10.6,83.9,33,67,43.2,92.8,16.7,4.2,11.5,78.2,13.4,80.6,82.3,87,4.07,16.7,62.2,23.3,7.69
B6,B6_M_4,Canonical,Other,M,263,155,131000000,16.5,27.8,97.9,7.04,1.74,9.77,0.064,0.064,3.02,1.05,27.6,5.77,9.35,0.12,0.14,1.65,66.8,0.4,0.07,0.03,0.66,24,1.97,0.11,0.28,3.39,3.36,5.93,1.19,1.58,8.04,62.4,88.8,2.08,19.5,16.9,3.37,4.33,0.049,4.34,2.05,7.3,10.4,67.6,55.1,44.1,64.9,82.3,0.23,25.3,33.8,25.6,71,78.7,50.9,82.7,94.6,0.22,41.3,56.2,71.3,66.4,46.2,41.5,58.1,77.7,0.21,19.7,25.8,78.6,14.3,12.7,87.2,13.8,65.1,29.6,7.68,7.37,11.8,50.1,54.4,6.76,27.4,90.7,83.1,18,30,86.8,23.4,98.7,24.3,7.55,80.4,35.3,64.8,35.7,90.3,19.6,5.88,9.79,75.4,16.4,81.3,82.3,88.9,2.16,16.7,54.8,25.2,10.5
Balb/c,Balb/c_F_1,Other,Other,F,264,155,118000000,23.7,22.7,98.4,2.91,1.6,16.2,0.46,0,5.94,1.33,40.5,4.22,9.36,0.22,0.2,1.82,55.7,0.29,0.11,0.01,0.25,35.1,2.11,0.34,0.39,3.09,4.93,6.9,0.66,1.06,9.28,72.4,87.9,2.42,18,14.7,2,6.31,0.037,3.88,1.57,2.56,11.2,78.3,54.3,25,57.1,91.7,0.13,15.4,14.9,18.4,80.3,82.9,32.6,83.1,95.1,0.2,33.8,28.1,79.1,78,47.1,23.3,50.6,90.9,0.12,11.1,11.7,66.3,19.9,18.6,81.4,9.81,73.6,22.2,7.16,32.5,38.1,24.4,13.2,22,37.8,80.6,79.5,11.4,55.1,82,27.2,99.7,21.8,25.6,79.9,45.4,67.8,60.8,82.1,21.4,4.66,47.1,75.7,20,71.5,86.8,89.5,3.44,12.2,55.1,21.1,15.5
Balb/c,Balb/c_F_2,Other,Other,F,265,155,106000000,27.5,23.5,98.5,1.96,3.09,12.4,0.52,1.03,7.22,1.7,42.6,3.51,8.23,0.16,0.27,2.16,54.3,0.4,0.07,0.05,0.39,37.6,2.77,0.19,0.44,3.18,4.56,7.66,0.98,1.86,11.5,72.2,88.1,2.33,17.3,13,2.01,5.15,0.055,4.23,1.61,2.72,11.2,78.6,55.9,22.6,58.9,93.3,0.087,17,15.6,18.4,81.5,83.3,33.5,85,95.8,0.16,36.7,27,79,77.9,49.2,19.8,52.4,92.6,0.073,12.4,12.7,62.2,15.7,15.3,84.7,8.41,65.7,29.7,6.84,33.4,36.9,19.7,12.5,19.6,38.7,84.6,83.4,9.28,55.9,78.8,28.1,99.6,22.2,29.7,80.8,45.2,67.1,61.8,78.1,22.4,5.02,40.7,79.6,27.8,73,80.2,87.8,3.45,18.7,59.3,21.9,11.2
Balb/c,Balb/c_M_3,Other,Other,M,266,155,97000000,23.8,22.3,98.9,2.51,3.12,12.5,0.62,0.62,6.88,1.98,34,4.42,9.69,0.17,0.2,1.86,61.8,0.53,0.08,0,0.48,28.7,3.94,0.27,0.43,2.75,5.02,8.33,0.93,1.54,11.1,73.4,87.9,2.83,14.7,13.7,2.28,4,0.059,2.53,1.15,2.33,11,75.6,50,29.1,58.1,87.1,0.085,10.9,14.2,15.4,81.4,81.7,42.4,85.3,94.2,0,28.8,29.1,81.8,74.4,43.7,26.3,52.5,85.7,0.1,7.68,11.3,71,17.3,33.5,66.4,4.85,77.2,17.7,2.56,27.2,33.4,31.1,18.3,24.8,36.6,82,85.8,13.1,43.2,73.3,32.9,99.5,24.4,20.5,83.9,55.3,64.3,48.1,69.6,25.2,4.55,26.7,63.3,20,76.8,85.2,86.3,3.27,13.9,53.5,22.9,14.9
Balb/c,Balb/c_M_4,Other,Other,M,267,155,90000000,22.4,23.9,98.4,3.4,2.25,16.2,0.25,0.75,8.25,1.98,34.1,3.79,8.45,0.17,0.38,2.67,62.5,0.56,0.05,0.07,0.55,29.2,3.58,0.32,0.77,4.41,4.48,8.79,0.93,2.43,16.3,71.9,85.8,2.73,16.7,14,3.31,4.69,0.036,2.82,1.19,2.86,13.2,77.2,52.6,31.5,64.5,89.8,0.084,14.5,15.7,16.8,82.3,81.7,42.6,86.4,94.5,0,32.5,27.8,80.4,76,46.3,29,59.4,88.6,0.1,10.6,13,72,20.6,44.6,55.3,6.82,79.8,16.6,3.6,31.4,36,25.9,16.1,25.9,35.2,86.3,87,11.5,50.1,75.8,34.3,99.9,24.1,20,83.4,51.1,66.9,57,73.4,27.9,2.97,62.1,69,31,70.9,83,85.3,4.11,15.9,57.9,21.6,12.8
CC001/Unc,CC001/Unc_F_6888,Canonical,Other,F,43,145,66000000,41,36.5,97.2,10.2,0.42,19.1,0.71,0.34,4.72,0.71,18.4,11.9,17.5,0.3,0.32,4.14,69.2,0.29,0.15,0.06,2.87,15.4,1.68,0.37,1.37,8.08,3.56,3.81,3.37,1.9,11.9,54.1,83.8,0.94,16,30.7,1.85,11.7,0.079,5.54,2,7.62,15.2,59.5,52.7,52.4,52.1,91.6,0.24,18.9,31.3,24.1,74.8,70.9,45.3,70.4,96.7,0.38,25.2,47.5,70.6,53.7,46.1,55.2,45.4,89.5,0.16,17.1,25.4,55.2,19.5,11,88.9,0.25,0,100,5.96,39.1,90.5,3.02,1.73,26,71,76.7,44.2,7.34,82.8,86.4,38.4,99.4,33.1,76.7,82.9,49.6,38.8,89.7,92.1,35.1,18.5,73.6,75,19.4,74.8,71.9,73,11.4,25.7,50.9,17.2,19.9
CC001/Unc,CC001/Unc_F_6889,Canonical,Other,F,44,145,64000000,44.2,35.6,97.9,7.51,0.52,18.5,0.65,0.39,5.2,0.59,14.9,9.65,14.1,0.22,0.23,3.75,74.9,0.24,0.14,0.05,2.71,12.7,1.48,0.39,1.16,7.82,2.83,4.03,2.02,1.26,10.5,56.2,87.8,0.83,11.2,22.3,1.11,11.3,0.091,2.22,0.89,5.57,11.3,65.5,48.1,47.4,47.4,93.3,0.23,13.8,26,21.3,81,67.4,38,65.6,97.4,0.25,19.4,42.9,73.4,60,42.1,50.1,41.7,91.8,0.18,12.4,21,51.9,18.6,8.77,91.2,0.34,0,100,5.52,39.5,89.7,2.64,1.37,26.3,71.3,81.5,44.5,5.74,80.7,90.3,34.9,99.5,31.6,74.2,87.4,47.4,41.4,84.7,95.2,31.3,16.1,79.4,79.4,18.6,75.4,73,58.9,12.3,25,56.2,14.5,16.5
