"","CD40L&CD107a&IFNg&IL2&IL4&!IL10&!IL17&TNF","CD40L&CD107a&IFNg&IL2&!IL4&IL10&!IL17&TNF","CD40L&CD107a&IFNg&IL2&!IL4&!IL10&IL17&TNF","CD40L&CD107a&IFNg&IL2&!IL4&!IL10&!IL17&TNF","CD40L&CD107a&IFNg&IL2&!IL4&!IL10&!IL17&!TNF","CD40L&CD107a&IFNg&!IL2&IL4&!IL10&!IL17&TNF","CD40L&CD107a&IFNg&!IL2&!IL4&IL10&!IL17&TNF","CD40L&CD107a&IFNg&!IL2&!IL4&!IL10&IL17&TNF","CD40L&CD107a&IFNg&!IL2&!IL4&!IL10&!IL17&TNF","CD40L&CD107a&IFNg&!IL2&!IL4&!IL10&!IL17&!TNF","CD40L&CD107a&!IFNg&IL2&!IL4&!IL10&!IL17&TNF","CD40L&CD107a&!IFNg&!IL2&!IL4&!IL10&!IL17&TNF","CD40L&CD107a&!IFNg&!IL2&!IL4&!IL10&!IL17&!TNF","CD40L&!CD107a&IFNg&IL2&!IL4&!IL10&!IL17&TNF","CD40L&!CD107a&IFNg&!IL2&!IL4&IL10&!IL17&TNF","CD40L&!CD107a&IFNg&!IL2&!IL4&IL10&!IL17&!TNF","CD40L&!CD107a&IFNg&!IL2&!IL4&!IL10&!IL17&TNF","CD40L&!CD107a&IFNg&!IL2&!IL4&!IL10&!IL17&!TNF","CD40L&!CD107a&!IFNg&IL2&!IL4&!IL10&!IL17&TNF","CD40L&!CD107a&!IFNg&!IL2&!IL4&IL10&!IL17&!TNF","CD40L&!CD107a&!IFNg&!IL2&!IL4&!IL10&!IL17&TNF","CD40L&!CD107a&!IFNg&!IL2&!IL4&!IL10&!IL17&!TNF","!CD40L&CD107a&IFNg&IL2&!IL4&!IL10&!IL17&TNF","!CD40L&CD107a&IFNg&!IL2&!IL4&!IL10&!IL17&TNF","!CD40L&CD107a&IFNg&!IL2&!IL4&!IL10&!IL17&!TNF","!CD40L&CD107a&!IFNg&!IL2&!IL4&IL10&!IL17&!TNF","!CD40L&CD107a&!IFNg&!IL2&!IL4&!IL10&!IL17&TNF","!CD40L&CD107a&!IFNg&!IL2&!IL4&!IL10&!IL17&!TNF","!CD40L&!CD107a&IFNg&!IL2&!IL4&!IL10&!IL17&TNF","!CD40L&!CD107a&IFNg&!IL2&!IL4&!IL10&!IL17&!TNF","!CD40L&!CD107a&!IFNg&!IL2&IL4&!IL10&!IL17&!TNF","!CD40L&!CD107a&!IFNg&!IL2&!IL4&IL10&!IL17&!TNF","!CD40L&!CD107a&!IFNg&!IL2&!IL4&!IL10&!IL17&TNF","!CD40L&!CD107a&!IFNg&!IL2&!IL4&!IL10&!IL17&!TNF"
"C_CC001_53",0,0,0.077,0.94,0.0059,0,0.071,0.12,2.34,0.07054,0.012,0.16,0.121,0.29,0.0059,0,1.417,0.097,0.035,0,0.867,1.05,0.012,0.041,0.005,0,0.009,0.18,0.131,0.042,0.01154,0.14,0.26,0
"R_CC009J_61",0,0,0,0.032,0,0,0,0,0.13,0,0,0,0.016,0,0,0,0.016,0,0,0.016,0.032,0.21,0,0,0.016,0.016,0,0.13,0,0,0.047,0.311,0.014,0
"R_CC024J_77",0,0,0,0.073,0,0,0,0,0.044,0,0,0,0.029,0,0,0,0.043,0.015,0,0,0.015,0.01,0,0,0.015,0,0,1.3,0,0.029,0.029,0.28,0,0
"C_CC059_85",0.00644,0.00966,0.077,1.55,0.00322,0.00644,0.023,0.14,4.456,0.052,0.00322,0.24,0.035,0.12656,0,0,1.469,0.086,0.029,0.00622,0.725,0.18,0.029,0.21,0.00912,0.013,0.08056,0.32,0.186,0.105,0,0.055,0.5,0
"C_CC011J_93",0,0,0.00825,0.041,0,0,0.00825,0.033,0.46186,0.00825,0,0.066,0.01686,0.00825,0.00825,0,0.12,0.025,0,0.034,0.05786,0.27,0.00825,0.033,0,0.067,0.017,0.4,0.033,0.026,0,0.59,0.05,0
"C_B6_101",0.083,0.083,0.4,7.83,0.042,0,0.062,0.25,6.92,0.079,0,0.29,0.099,1.17,0,0,2.33,0.08,0.15,0.036,0.896,0,0.27,0.4,0.062,0.021,0.077,0.0600000000000001,0.227,0,0.021,0.19,0.43,0
"R_PWK uninfected_PU",0,0,0,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434,0,0,0,0.032,0.032,1.2,0,0,0.71,0.71,0,0
"C_CC001_54",0,0.014,0.035,0.83,0.00691,0.00345,0.024,0.079,3.16628,0.09628,0.00345,0.28,0.134,0.19256,0.017,0.00345,1.645,0.241,0.041,0.01028,1,1.41,0.01328,0.08928,0.02728,0,0.05456,0.13,0.26628,0.098,0.00956,0.22,0.35,0
"R_CC009J_62",0,0,0,0.027,0,0,0,0,0.036,0.00895,0,0.00895,0.00882,0.00895,0,0,0.045,0.018,0.00895,0.018,0.018,0.33,0,0,0,0.017,0,0.45,0,0.06282,0.008,0.167,0,0
"R_CC018J_70",0,0.022,0.017,0.12,0,0,0.11,0.022,0.59,0.03332,0,0.072,0.055,0.022,0.044,0.017,0.18432,0.04932,0,0.011,0.16432,0,0,0.00555,0.022,0.017,0.00532,1.62,0.006,0,0,0.14,0,0
